frame,tl,tr,br,bl,h1,h2,a1,a2
84,"(314.0, 71.5)","(524.0, 72.5)","(527.5, 90.5)","(310.0, 90.5)","(759.5, 287)","(422.5, 312)","(516.5, 277)","(587.5, 222)"
85,"(315.0, 71.5)","(525.0, 72.5)","(527.5, 90.5)","(311.0, 90.5)","(754.5, 287)","(418.5, 312)","(509.5, 277)","(581.5, 222)"
86,"(316.0, 72.5)","(526.0, 73.5)","(529.5, 90.5)","(313.0, 91.5)","(753.5, 288)","(417.5, 313)","(506.5, 277)","(578.5, 222)"
87,"(319.0, 73.5)","(528.0, 74.5)","(531.5, 92.5)","(316.0, 91.5)","(748.5, 286)","(413.5, 310)","(500.5, 276)","(575.5, 224)"
88,"(322.0, 73.5)","(530.0, 75.5)","(532.5, 92.5)","(319.0, 93.5)","(747.5, 286)","(411.5, 311)","(496.5, 274)","(571.5, 225)"
89,"(324.0, 75.5)","(532.0, 76.5)","(535.5, 94.5)","(322.0, 92.5)","(745.5, 287)","(410.5, 310)","(492.5, 275)","(569.5, 224)"
90,"(329.0, 77.5)","(534.0, 77.5)","(537.5, 95.5)","(326.0, 95.5)","(741.5, 289)","(407.0, 307)","(489.5, 275)","(564.5, 223)"
91,"(333.0, 77.5)","(536.0, 79.5)","(539.5, 96.5)","(330.0, 95.5)","(739.5, 288)","(407.0, 306)","(485.5, 274)","(563.5, 223)"
92,"(334.0, 79.5)","(539.0, 80.5)","(541.5, 96.5)","(333.0, 96.5)","(736.5, 288)","(405.0, 306)","(482.5, 273)","(560.5, 225)"
93,"(341.0, 79.5)","(541.0, 80.5)","(544.5, 98.5)","(337.0, 97.5)","(734.0, 285)","(403.0, 305)","(479.5, 274)","(558.5, 225)"
94,"(344.0, 80.5)","(543.0, 81.5)","(546.5, 99.5)","(340.0, 98.5)","(732.0, 285)","(402.0, 305)","(476.5, 273)","(556.5, 226)"
95,"(347.0, 81.5)","(546.0, 83.5)","(549.5, 99.5)","(344.0, 99.5)","(729.0, 287)","(399.5, 303)","(472.5, 272)","(553.5, 225)"
96,"(350.0, 82.5)","(548.0, 84.5)","(551.5, 101.5)","(347.0, 100.5)","(726.5, 286)","(397.5, 302)","(470.5, 272)","(550.5, 225)"
97,"(354.0, 83.5)","(551.0, 84.5)","(553.5, 102.5)","(351.0, 101.5)","(723.5, 284)","(393.5, 300)","(467.5, 269)","(548.5, 226)"
98,"(358.0, 84.5)","(554.0, 87.5)","(555.5, 103.5)","(354.0, 102.5)","(720.0, 283)","(392.5, 300)","(463.5, 270)","(545.5, 226)"
